time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2016/05/14/16:16:37.779395,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:37.829427,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:37.879489,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:37.929357,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:37.979496,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.029417,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.079458,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.129419,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.179403,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.229412,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.279452,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.329391,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.379443,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.429427,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.479407,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.529346,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.579383,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.629472,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.679336,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.729471,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.779459,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.829315,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.879324,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.929406,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:38.979449,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.029525,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.079574,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.129559,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.179387,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.229534,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.279436,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.329486,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.379468,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.429429,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.479390,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.529445,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.579406,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.629384,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.679449,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.729461,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.779417,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.829417,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.879503,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.929428,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:39.979347,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:40.029407,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:40.079409,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:40.129673,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:40.179298,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:40.229368,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:40.279345,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:40.329394,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:40.379441,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:40.429443,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:40.479340,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:40.529558,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:40.579384,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:40.629450,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:40.679410,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:40.729421,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:40.779391,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:40.829378,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:40.879435,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:40.929487,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:40.979379,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.029376,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.079312,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.129392,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.179495,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.229449,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.279387,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.329367,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.379377,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.429274,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.479402,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.529368,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.579442,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.629399,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.679407,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.729495,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.779412,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.829460,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.879380,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.929393,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:41.979523,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.029356,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.079425,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.129399,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.179361,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.229384,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.279410,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.329468,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.379402,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.429520,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.479379,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.529443,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.579418,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.629421,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.679550,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.729488,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.779484,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.829492,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.879404,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.929487,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:42.979399,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.029352,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.079403,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.129370,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.179365,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.229357,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.279348,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.329359,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.379357,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.429355,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.479358,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.529362,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.579444,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.629376,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.679405,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.729506,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.779319,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.829376,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.879406,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.929399,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:43.979331,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.029392,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.079403,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.129376,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.179448,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.229504,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.279484,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.329421,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.379450,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.429422,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.479438,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.529323,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.579322,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.629448,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.679532,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.729469,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.779319,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.829457,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.879334,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.929464,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:44.979337,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:45.029486,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:45.079359,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:45.129508,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:45.179480,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:45.229444,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:45.279505,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:45.329376,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:45.379539,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:45.429364,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:45.479458,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:45.529520,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:45.579552,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:45.629509,1.0,0.0,0.0,0.0,0.0,0.1
